"","charge","chemicalFormula"
"631",-1,"C6H9O7"
"632",-2,"C6H11O9P"
"633",-2,"C6H11O9P"
"634",0,"C7H14O6"
"635",0,"C7H14O6"
"636",0,"C7H14O6"
"637",0,"C7H14O6"
"638",0,"C12H22O11"
"639",-1,"C9H18O11P"
"640",1,"C6H14NO5"
"641",-2,"C8H14NO9P"
"642",-1,"C8H14NO7"
"643",0,"C14H25NO11"
"644",-1,"C5H9O4"
"645",-1,"C5H7O3"
"646",-2,"C6H8O5"
"647",0,"C5H11NO2"
"648",-2,"C7H10O5"
"649",-1,"C6H9O4"
"650",-1,"C20H20N7O6"
"651",0,"C4H9NO3"
"652",0,"C10H13N5O5"
"653",0,"C5H5N5O"
"654",-1,"C7H5O3"
"655",0,"C7H8O"
"656",0,"C12H16O6"
"657",0,"C8H8O2"
"658",-1,"C6H5O4S"
"659",-1,"C5H6NO2"
"660",0,"C5H9NO3"
"661",0,"C5H9NO2"
"662",0,"C12H21N3O8"
"663",-1,"C6H4NO2"
"664",1,"C7H9N2O"
"665",1,"C11H15N2O5"
"666",-4,"C37H62N7O17P3S"
"667",-1,"C16H31O2"
"668",0,"C16H32O"
"669",-4,"C37H60N7O17P3S"
"670",1,"C18H38NO2"
"671",0,"C8H16N2O4S2"
"672",0,"C7H6O2"
"673",-1,"C7H5O2"
"674",0,"C6H6O2"
"675",-3,"C28H37N7O18P3S"
"676",-1,"C13H15O8"
"677",0,"C8H8O3"
"678",-3,"C6H3O6"
"679",0,"C12H22O11"
"680",0,"C2H4O2"
"681",-3,"C2H2O6P"
"682",-3,"C6H5O7"
"683",0,"C2H3O2R"
"684",0,"C4H7O4R"
"685",0,"C4H7O4R"
"686",-2,"C6H8O5"
"687",-5,"C27H39N7O20P3S"
"688",-2,"C8H6O6"
"689",-1,"C4H3O2"
"690",-1,"C9H9O3"
"691",-1,"C8H7O3"
"692",-2,"C10H8O6"
"693",0,"C8H8O"
"694",-1,"C9H7O3"
"695",-3,"C6H8O10P"
"696",-2,"C6H9O10P"
"697",-2,"C14H20N2O16P2"
"698",-2,"C14H20N2O16P2"
"699",-3,"C15H19N2O18P2"
"700",-1,"C3H5O4"
"701",-2,"C4H2O6"
"702",-1,"CH2NO2"
"703",0,"C7H15N3O3"
"704",0,"C6H12O4S"
"705",-2,"C6H11O7PS"
"706",0,"CHN"
"707",0,"C3H6N2"
"708",0,"C5H7N3O"
"709",0,"C5H6N2O2"
"710",0,"C5H6N2O3"
"711",0,"C5H8N2O2"
"712",-1,"C5H14N4O3P"
"713",2,"C6H18N6"
"714",-1,"C7H6O5P"
"715",-1,"C17H17N5O8P"
"716",-1,"C9H8NO3"
"717",1,"C12H19N4O"
"718",0,"C5H10O5"
"719",0,"C5H8O5"
"720",0,"C5H12O5"
"721",0,"C5H10O5"
"722",1,"C4H12N"
"723",0,"C12H20O11"
"724",0,"C18H32O16"
"725",0,"C12H22O11"
"726",0,"C3H6O2"
"727",-2,"C3H4O6S"
"728",-3,"C24H37N7O18P3S"
"729",0,"C27H46O"
"730",0,"C27H44O"
"731",0,"C27H46O2"
"732",0,"C27H46O2"
"733",0,"C27H46O2"
"734",0,"C27H44O"
"735",0,"C27H44O"
"736",0,"C33H56O6"
"737",0,"C28H45O2R"
"738",0,"C27H46O2"
"739",-2,"C4H8NO6P"
"740",0,"C4H9NO3"
"741",0,"C5H14NO6P"
"742",-1,"C5H10O8P"
"743",-2,"C14H20N2O16P2"
"744",-1,"C6H11O7"
"745",-1,"C6H9O7"
"746",0,"C6H8O6"
"747",0,"C6H8O6"
"748",0,"C4H8N2O4"
"749",0,"C19H36NO3R"
"750",1,"C18H38NO2"
"751",-1,"C19H36NO6PR"
"752",0,"C25H46NO8R"
"753",0,"C25H46NO8R"
"754",-1,"C11H19N4O11P2"
"755",-1,"C21H41N2O6PR"
"756",-1,"C17H17N5O10P"
"757",-1,"C7H7O4"
"758",-3,"C7H3O6"
"759",-2,"C7H4O6"
"760",-1,"C10H10NO6"
"761",-3,"C3H2O7P"
"762",-3,"C3H5O10P2"
"763",-1,"C6H11O7"
"764",-1,"C5H12O8P"
"765",-3,"C6H10O10P"
"766",-2,"C5H9O8P"
"767",0,"C6H14FO3P"
"768",-1,"F"
"769",-1,"C6H14O4P"
"770",-2,"C55H89O4P"
"771",-2,"C61H100O12P2"
"772",-1,"C6H9O6"
"773",-1,"C6H11O7"
"774",-3,"C6H8O9P"
"775",-1,"C6H7O6"
"776",-1,"C6H7O6"
"777",0,"C6H13NO6"
"778",-2,"C10H12N5O6P"
"779",0,"C3H8O"
"780",0,"C4H7NO"
"781",-2,"C6H11O9P"
"782",0,"C14H24O12"
"783",-2,"C10H12N5O7P"
"784",-1,"C4H7N2O3"
"785",0,"C4H9NO2"
"786",0,"C4H9N3O2"
"787",0,"C10H14N2O5"
"788",-2,"C10H13N2O8P"
"789",-2,"C5H9O7P"
"790",0,"C5H10O5"
"791",0,"C5H8O5"
"792",-1,"C8H13O8"
"793",-2,"C6H6NO5R"
"794",-1,"C5H6NO3"
"795",0,"C4H9NO2"
"796",0,"C6H12N2O3"
"797",-1,"C6H10NO4"
"798",-1,"C6H8NO4"
"799",1,"C2H8N3"
"800",-1,"C20H31O2"
"801",-1,"C20H31O4"
"802",-1,"C20H31O4"
"803",-1,"C20H31O4"
"804",-1,"C20H31O4"
"805",-3,"C41H63N7O17P3S"
"806",-2,"C6H11O9P"
"807",-1,"C3H5O3"
"808",-2,"C3H3NO4"
"809",-3,"C6H8O9P"
"810",-1,"C3HO2"
"811",-4,"C30H38N7O18P3S"
"812",0,"C15H12O5"
"813",0,"C14H12O3"
"814",0,"C9H8O2"
"815",1,"C14H21N4O2"
"816",-1,"C10H14N6O6P"
"817",-1,"C7H7O5"
"818",-1,"C7H5O3"
"819",0,"C6H6O3"
"820",-3,"C7H3O6"
"821",-2,"C7H4O6"
"822",-2,"C8H6O6"
"823",-2,"C8H4O6"
"824",-2,"C8H4O6"
"825",-2,"C7H4O5S"
"826",-2,"C7H13O10P"
"827",-1,"C4H7O3"
"828",-2,"C7H8O6"
"829",-2,"C7H8O6"
"830",-2,"C7H7NO5"
"831",-1,"C5H7N2O2"
"832",-4,"C26H40N7O17P3S"
"833",-2,"C7H8O5"
"834",-3,"C25H27N8O10"
"835",0,"C16H20N2O2"
"836",-2,"C10H18O7P2"
"837",-2,"C10H18O7P2"
"838",-2,"C9H12N3O7P"
"839",-2,"C9H11N2O8P"
"840",0,"C9H13N3O4"
"841",-2,"C9H13N3O10P2"
"842",-3,"C9H13N3O13P3"
"843",-1,"C10H15N3O7P"
"844",0,"C5H4N4O2"
"845",-2,"C12H21O14P"
"846",0,"C12H20O11"
"847",0,"C2H7NO2S"
"848",0,"C2H7NO3S"
"849",-1,"C5H10NO5S"
"850",-1,"C2H3O4S"
"851",-1,"C4H5O2"
"852",-1,"C14H18N4O9P"
"853",0,"C6H12O6"
"854",0,"C8H17NOS2"
"855",0,"C8H15NOS2"
"856",0,"C10H19NO2S2"
"857",-1,"C12H20NO4S2"
"858",0,"C12H23NO2S2"
"859",0,"C13H25NO2S2"
"860",0,"C15H30O"
"861",0,"C8H7NO3"
"862",0,"C8H11NO3"
"863",1,"C8H13N2O2"
"864",-4,"C10H9O10P"
"865",-1,"C10H10NO5"
"866",-2,"C10H8O6"
"867",0,"C12H22O11"
"868",0,"C7H7NO2"
"869",0,"C12H15NO7"
"870",-1,"C8H7N2O3"
"871",-2,"C11H12NO9P"
"872",-2,"C7H3NO4"
"873",0,"C5H12O5"
"874",0,"C12H10N4O2"
"875",0,"C3H6O2"
"876",-1,"C13H20N3O8S"
"877",-1,"C6H9O7"
"878",-1,"C6H9O7"
