"","x"
"1416",-1000
"1417",-1000
"1418",0
"1419",0
"1420",0
"1421",-1000
"1422",0
"1423",0
"1424",0
"1425",0
"1426",-1000
"1427",-1000
"1428",0
"1429",-1000
"1430",-1000
"1431",-1000
"1432",-1000
"1433",-1000
"1434",0
"1435",-1000
"1436",0
"1437",0
"1438",0
"1439",-1000
"1440",0
"1441",-1000
"1442",0
"1443",0
"1444",-1000
"1445",-1000
"1446",-1000
"1447",0
"1448",-1000
"1449",0
"1450",0
"1451",0
"1452",0
"1453",0
"1454",-1000
"1455",-1000
"1456",-1000
"1457",-1000
"1458",0
"1459",0
"1460",0
"1461",-1000
"1462",0
"1463",0
"1464",-1000
"1465",-1000
"1466",0
"1467",-1000
"1468",0
"1469",-1000
"1470",0
"1471",0
"1472",-1000
"1473",0
"1474",-1000
"1475",-1000
"1476",0
"1477",0
"1478",0
"1479",0
"1480",-1000
"1481",-1000
"1482",-1000
"1483",0
"1484",-1000
"1485",-1000
"1486",0
"1487",-1000
"1488",0
"1489",0
"1490",0
"1491",0
"1492",0
"1493",-1000
"1494",0
"1495",-1000
"1496",0
"1497",-1000
"1498",-1000
"1499",0
"1500",-1000
"1501",0
"1502",-1000
"1503",0
"1504",-1000
"1505",-1000
"1506",-1000
"1507",0
"1508",0
"1509",0
"1510",0
"1511",-1000
"1512",-1000
"1513",-1000
"1514",-1000
"1515",-1000
"1516",-1000
"1517",-1000
"1518",-1000
"1519",-1000
"1520",-1000
"1521",0
"1522",0
"1523",-1000
"1524",-1000
"1525",0
"1526",-1000
"1527",-1000
"1528",0
"1529",0
"1530",0
"1531",0
"1532",-1000
"1533",-1000
"1534",0
"1535",-1000
"1536",-1000
"1537",0
"1538",-1000
"1539",0
"1540",-1000
"1541",0
"1542",0
"1543",-1000
"1544",0
"1545",0
"1546",-1000
"1547",0
"1548",0
"1549",-1000
"1550",-1000
"1551",0
"1552",0
"1553",-1000
"1554",0
"1555",-1000
"1556",-1000
"1557",-1000
"1558",-1000
"1559",0
"1560",-1000
"1561",0
"1562",0
"1563",0
"1564",0
"1565",0
"1566",-1000
"1567",0
"1568",-1000
"1569",-1000
"1570",0
"1571",-1000
"1572",0
"1573",0
"1574",-1000
"1575",-1000
"1576",-1000
"1577",-1000
"1578",-1000
"1579",-1000
"1580",-1000
"1581",-1000
"1582",0
"1583",0
"1584",-1000
"1585",-1000
"1586",0
"1587",0
"1588",0
"1589",-1000
"1590",0
"1591",0
"1592",-1000
"1593",0
"1594",-1000
"1595",-1000
"1596",0
"1597",0
"1598",0
"1599",0
"1600",0
"1601",0
"1602",-1000
"1603",-1000
"1604",-1000
"1605",0
"1606",-1000
"1607",0
"1608",0
"1609",-1000
"1610",0
"1611",0
"1612",0
"1613",0
"1614",-1000
"1615",-1000
"1616",0
"1617",-1000
"1618",0
"1619",0
"1620",0
"1621",-1000
"1622",-1000
"1623",-1000
"1624",-1000
"1625",-1000
"1626",-1000
"1627",-1000
"1628",0
"1629",-1000
"1630",0
"1631",-1000
"1632",-1000
"1633",0
