"","x"
"880","cpd00224[c0]"
"881","cpd02428[c0]"
"882","cpd03201[c0]"
"883","cpd00819[c0]"
"884","cpd00417[c0]"
"885","cpd00397[c0]"
"886","cpd00435[c0]"
"887","cpd01447[c0]"
"888","cpd02099[c0]"
"889","cpd00439[c0]"
"890","cpd00346[c0]"
"891","cpd00992[c0]"
"892","cpd02386[c0]"
"893","cpd00520[c0]"
"894","cpd03861[c0]"
"895","cpd00231[c0]"
"896","cpd00233[c0]"
"897","cpd03733[c0]"
"898","cpd02487[c0]"
"899","cpd02488[c0]"
"900","cpd02489[c0]"
"901","cpd02325[c0]"
"902","cpd03754[c0]"
"903","cpd02608[c0]"
"904","cpd00490[c0]"
"905","cpd00483[c0]"
"906","cpd02147[c0]"
"907","cpd02857[c0]"
"908","cpd00349[c0]"
"909","cpd00420[c0]"
"910","cpd00237[c0]"
"911","cpd00904[c0]"
"912","cpd03137[c0]"
"913","cpd00866[c0]"
"914","cpd01407[c0]"
"915","cpd01279[c0]"
"916","cpd00241[c0]"
"917","cpd00296[c0]"
"918","cpd00277[c0]"
"919","cpd00295[c0]"
"920","cpd00443[c0]"
"921","cpd03579[c0]"
"922","cpd00282[c0]"
"923","cpd00247[c0]"
"924","cpd00248[c0]"
"925","cpd00699[c0]"
"926","cpd00989[c0]"
"927","cpd00412[c0]"
"928","cpd01550[c0]"
"929","cpd00585[c0]"
"930","cpd01255[c0]"
"931","cpd02094[c0]"
"932","cpd00615[c0]"
"933","cpd02019[c0]"
"934","cpd00256[c0]"
"935","cpd00431[c0]"
"936","cpd00368[c0]"
"937","cpd00261[c0]"
"938","cpd02100[c0]"
"939","cpd00473[c0]"
"940","cpd01067[c0]"
"941","cpd03604[c0]"
"942","cpd02479[c0]"
"943","cpd00264[c0]"
"944","cpd00726[c0]"
"945","cpd00470[c0]"
"946","cpd03411[c0]"
"947","cpd10719[c0]"
"948","cpd01715[c0]"
"949","cpd01541[c0]"
"950","cpd00266[c0]"
"951","cpd01915[c0]"
"952","cpd02543[c0]"
"953","cpd03651[c0]"
"954","cpd03649[c0]"
"955","cpd01205[c0]"
"956","cpd02284[c0]"
"957","cpd01281[c0]"
"958","cpd01211[c0]"
"959","cpd00269[c0]"
"960","cpd01576[c0]"
"961","cpd00413[c0]"
"962","cpd03372[c0]"
"963","cpd03287[c0]"
"964","cpd01496[c0]"
"965","cpd00705[c0]"
"966","cpd03672[c0]"
"967","cpd07830[c0]"
"968","cpd00270[c0]"
"969","cpd00321[c0]"
"970","cpd00881[c0]"
"971","cpd01925[c0]"
"972","cpd00634[c0]"
"973","cpd01874[c0]"
"974","cpd01912[c0]"
"975","cpd00272[c0]"
"976","cpd00920[c0]"
"977","cpd02065[c0]"
"978","cpd00789[c0]"
"979","cpd01394[c0]"
"980","cpd02432[c0]"
"981","cpd03355[c0]"
"982","cpd00486[c0]"
"983","cpd00842[c0]"
"984","cpd02234[c0]"
"985","cpd00280[c0]"
"986","cpd02497[c0]"
"987","cpd00652[c0]"
"988","cpd00437[c0]"
"989","cpd03853[c0]"
"990","cpd01889[c0]"
"991","cpd00762[c0]"
"992","cpd00657[c0]"
"993","cpd01565[c0]"
"994","cpd01619[c0]"
"995","cpd02038[c0]"
"996","cpd03619[c0]"
"997","cpd03620[c0]"
"998","cpd00407[c0]"
